Date,Open,High,Low,Close,Adj Close,Volume
2012-12-18,280077,283142,270884,283142,280561.0313,280120
2012-12-20,286819,286819,263530,265369,262950.0625,530259
2012-12-21,266594,278239,266594,278239,275702.75,274894
2012-12-24,278239,286206,276400,281916,279346.1875,203727
2012-12-26,285593,285593,275787,277013,274487.875,132904
2012-12-27,277013,280690,271497,275787,273882.125,123939
2012-12-28,276400,280690,273949,278239,276317.1563,144453
2013-01-02,282529,284980,278239,278852,276925.9063,126003
2013-01-03,280690,284367,268433,270884,269013,290459
2013-01-04,271497,277626,270272,277626,275708.4063,190397
2013-01-07,281303,294786,280690,294173,292141.1563,330143
2013-01-08,294173,296012,289270,290496,288489.5313,161948
2013-01-09,292947,294173,284980,286206,284229.125,120631
2013-01-10,284367,286819,276400,280690,278751.25,191849
2013-01-11,284367,284980,276400,280077,278142.4688,138669
2013-01-14,278852,292335,275787,290496,288489.5313,196839
2013-01-15,286206,290496,281303,287432,285446.6563,196102
2013-01-16,290496,294173,283142,284367,282402.8438,150458
2013-01-17,284980,289270,282529,287432,285446.6563,107567
2013-01-18,289270,290496,284367,290496,288489.5313,162317
2013-01-21,292947,299076,289270,297850,295792.6875,295836
2013-01-22,299076,303979,295399,302140,300053.0625,290239
2013-01-23,302140,306430,299689,303366,301270.625,161746
2013-01-24,304592,305205,300302,302753,300661.875,109441
2013-01-25,302753,304592,294173,304592,302488.1563,141034
2013-01-28,305818,307656,301527,305205,303096.9375,111305
2013-01-29,305818,305818,294173,297237,295183.9375,195512
2013-01-30,297850,302140,295399,299689,297619,159119
2013-01-31,297850,302140,292947,295399,293358.6563,178800
2013-02-01,296625,302753,296625,301527,299444.2813,170651
2013-02-04,305818,305818,296012,297850,295792.6875,91420
2013-02-05,288657,292947,281303,283755,281795.0625,324839
2013-02-06,281303,283142,270272,277626,275708.4063,365639
2013-02-07,280690,294173,273336,286206,284229.125,539689
2013-02-08,288045,295399,288045,289270,287272,298246
2013-02-12,291722,294786,284367,288045,286055.4375,155104
2013-02-13,291109,299076,289270,298463,296401.5,143781
2013-02-14,300302,304592,296012,297850,295792.6875,149695
2013-02-15,302753,302753,297850,302140,300053.0625,94802
2013-02-18,303979,305205,299689,300915,298836.5938,79069
2013-02-19,302753,305205,299076,303979,301879.375,113977
2013-02-20,306430,321752,306430,320526,318312.0938,347382
2013-02-21,320526,322978,316236,320526,318312.0938,159370
2013-02-22,322365,327268,319913,322978,320747.1563,223126
2013-02-25,322978,324203,318688,321752,319529.5938,106113
2013-02-26,319300,326042,319300,324203,321963.6875,153630
